"행정구역","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율"
"서울특별시  (1100000000)","10,022,181","4,189,948","          2.39","4,930,943","5,091,238","          0.97"
"서울특별시 종로구 (1111000000)","154,986","72,645","          2.13","76,548","78,438","          0.98"
"서울특별시 중구 (1114000000)","125,733","59,321","          2.12","62,687","63,046","          0.99"
"서울특별시 용산구 (1117000000)","233,342","107,512","          2.17","113,177","120,165","          0.94"
"서울특별시 성동구 (1120000000)","297,003","126,714","          2.34","147,570","149,433","          0.99"
"서울특별시 광진구 (1121500000)","360,369","158,353","          2.28","176,884","183,485","          0.96"
"서울특별시 동대문구 (1123000000)","360,153","159,941","          2.25","180,485","179,668","          1.00"
"서울특별시 중랑구 (1126000000)","413,909","176,390","          2.35","206,505","207,404","          1.00"
"서울특별시 성북구 (1129000000)","459,275","190,973","          2.40","224,980","234,295","          0.96"
"서울특별시 강북구 (1130500000)","330,873","141,088","          2.35","162,967","167,906","          0.97"
"서울특별시 도봉구 (1132000000)","351,242","136,903","          2.57","173,029","178,213","          0.97"
"서울특별시 노원구 (1135000000)","574,583","219,768","          2.61","279,987","294,596","          0.95"
"서울특별시 은평구 (1138000000)","497,920","203,410","          2.45","242,975","254,945","          0.95"
"서울특별시 서대문구 (1141000000)","312,141","135,770","          2.30","152,008","160,133","          0.95"
"서울특별시 마포구 (1144000000)","387,643","171,480","          2.26","186,495","201,148","          0.93"
"서울특별시 양천구 (1147000000)","484,532","179,512","          2.70","239,995","244,537","          0.98"
"서울특별시 강서구 (1150000000)","589,074","238,952","          2.47","287,947","301,127","          0.96"
"서울특별시 구로구 (1153000000)","422,092","172,321","          2.45","210,440","211,652","          0.99"
"서울특별시 금천구 (1154500000)","236,284","103,847","          2.28","120,604","115,680","          1.04"
"서울특별시 영등포구 (1156000000)","378,504","167,863","          2.25","189,394","189,110","          1.00"
"서울특별시 동작구 (1159000000)","400,641","170,495","          2.35","196,463","204,178","          0.96"
"서울특별시 관악구 (1162000000)","509,663","249,191","          2.05","257,491","252,172","          1.02"
"서울특별시 서초구 (1165000000)","446,764","173,007","          2.58","214,737","232,027","          0.93"
"서울특별시 강남구 (1168000000)","576,495","237,373","          2.43","276,425","300,070","          0.92"
"서울특별시 송파구 (1171000000)","660,302","256,611","          2.57","322,441","337,861","          0.95"
"서울특별시 강동구 (1174000000)","458,658","180,508","          2.54","228,709","229,949","          0.99"
